id,name,type,declared_mb,actual_mb,duration_sec,mbps,has_drive,has_final_cut,classification
693e6bb9-21dd-454f-b9dd-99a5f0c45e89,"BODY-ELECTRICIANS-AILEADGENERATION-T01.mp4",Body,109,5.13,91,0.5,false,false,SUB_PAR
51bd62d6-db3d-4330-8414-6b8ac305c7e9,"JOINED-PROJECT2-GUARANTEEDTOP3GO-T01.mp4",Joined,108.5,5.05,87,0.5,false,false,SUB_PAR
f1f541d0-1ff6-4646-9cba-d67c87c817af,"BODY-ELECTRICIANS-AILEADGENERATION-T01.mp4",Body,109.7,5.03,91,0.5,false,false,SUB_PAR
18c915b9-36d1-49b6-bfbd-d47e538af426,"BODY-PLUMBERS-PLUMBERLEADSAISO-T01.mp4",Body,106.9,4.02,90,0.4,false,false,SUB_PAR
365885ed-f178-4e00-b807-0f9a3cd69c24,"JOINED-PROJECT2-TOPTHREEGOOGLERA-T01.mp4",Joined,107.7,4.99,87,0.5,false,false,SUB_PAR
46e3131c-adff-4765-9411-f4ea57492867,"BODY-ELECTRICIANS-AILEADGENERATION-T01.mp4",Body,105.1,4.89,87,0.5,false,false,SUB_PAR
b376d4e9-3b0e-4977-899c-28dcd2729e55,"BODY-ELECTRICIANS-QUALIFIEDLEADSWI-T01.mp4",Body,106.7,4.84,88,0.5,false,false,SUB_PAR
69cc9d68-8437-4070-8958-f54c33839215,"BODY-ELECTRICIANS-AILEADGENERATION-T01.mp4",Body,103.4,4.77,86,0.5,false,false,SUB_PAR
a77ce9f9-3722-4c1f-9b11-1c4bd8306160,"BODY-PLUMBERS-PLUMBERLEADGENER-T01.mp4",Body,99.8,3.77,84,0.4,false,false,SUB_PAR
0f0d343b-a2a3-4b92-8410-37f2c93697b7,"BODY-ELECTRICIANS-AILEADGENERATION-T01.mp4",Body,107,4.87,88,0.5,false,false,SUB_PAR
3856c565-e172-4e91-9e20-fa53d9046428,"JOINED-PROJECT2-AILEADGENERATION-T01.mp4",Joined,102.9,4.13,69,0.5,false,false,SUB_PAR
3b316eec-d86f-4bbe-8958-e49f1e2b6087,"BODY-PLUMBERS-30JOBSGUARANTEED-T01.mp4",Body,97.5,3.66,82,0.4,false,false,SUB_PAR
689ee042-4dce-4fff-919e-42eb06543d2c,"BODY-PLUMBERS-AIPLUMBERLEADGEN-T01.mp4",Body,102.5,3.86,86,0.4,false,false,SUB_PAR
6eb4836b-a052-4bfa-886d-f64638b213d5,"BODY-PLUMBERS-AILEADSFORPLUMBE-T01.mp4",Body,145.3,5.37,123,0.4,false,false,SUB_PAR
7bfd44c6-cf65-49b5-aeb6-f6870ef8559f,"BODY-PLUMBERS-PLUMBERLEADSGUAR-T01.mp4",Body,101.4,3.74,87,0.4,false,false,SUB_PAR
8bbb38d3-13cc-4511-86e2-1741f0a463ed,"BODY-PLUMBERS-PLUMBERLEADGENER-T01.mp4",Body,98.7,3.68,84,0.4,false,false,SUB_PAR
c219df84-bc36-4102-8f4a-5146b7ca8f94,"BODY-PLUMBERS-PLUMBERCONNECTAI-T01.mp4",Body,102.5,3.85,87,0.4,false,false,SUB_PAR
cfc7f900-cc2b-43fd-8e9b-333c5258f82b,"FULL-UNK-REALLEADSNOTFAKE-T01.mp4",Retargeting,291.2,3.85,165,0.2,false,false,SUB_PAR
f8b78293-79f6-494e-b6aa-74ec9b54ec1c,"FULL-UNK-LOCALSERVICEMARK-T01.mp4",Retargeting,177.1,3.34,101,0.3,false,false,SUB_PAR
5487bff3-fd0a-48b4-83c8-9227f8f850fc,"BODY-UNK-SEOLEADSFORTRADE-T01.mp4",Testimony,98.3,1.35,55,0.2,false,false,BROKEN_PLACEHOLDER
8815daa6-5fce-43df-8016-df6b727f3dd2,"BODY-UNK-ACTUALRESULTSMAR-T01.mp4",Body,77.4,1.24,44,0.2,false,false,BROKEN_PLACEHOLDER
02aafd8c-db64-45a1-95a5-dd190d3a76d4,"JOINED-OSO-ERIC-GOOGLERANKINGRES-T01.mp4",Joined,66.5,2.12,37,0.5,false,false,BROKEN_PLACEHOLDER
20895ebd-a809-4e89-8af3-62ec0263ddbc,"JOINED-OSO-ERIC-GOOGLERANKINGRES-T02.mp4",Joined,63.2,2.04,37,0.5,false,false,BROKEN_PLACEHOLDER
4b28008d-c821-4701-9c3a-2473668d7fcd,"JOINED-OSO-ADAM-GOOGLERANKINGGUA-T01.mp4",Joined,63.7,2.17,35,0.5,false,false,BROKEN_PLACEHOLDER
eb76ba72-12dc-440e-b96e-b85e1751ac69,"JOINED-OSO-ADAM-GOOGLERANKINGRES-T03.mp4",Joined,60.1,2.05,33,0.5,false,false,BROKEN_PLACEHOLDER
